所有倍率 = 相对事件开始价的锚定价格倍率

EVENT|全球干旱|unlock=0|goods=wheat,coffee,tea,coal
C3-1-3|政策悬而未决，市场低迷。|super=false|mults={"antique":0.5,"diamond":0.55,"gold":1.3,"phone":1}
B3-2|反洗钱调查波及拍卖行。|mults={"antique":0.7,"diamond":0.75,"gold":1.4,"phone":0.9}
C3-2-1|调查扩大，收藏品重挫。|super=false|mults={"antique":0.3,"diamond":0.35,"gold":1.5,"phone":0.8}
C3-2-2|调查结束，市场恢复。|super=false|mults={"antique":1.2,"diamond":1.2,"gold":1.2,"phone":1}
C3-2-3|监管常态化，收藏品承压。|super=false|mults={"antique":0.5,"diamond":0.55,"gold":1.3,"phone":0.9}
B3-3|央行提示收藏品泡沫风险。|mults={"antique":0.8,"diamond":0.85,"gold":1.3,"phone":1}
C3-3-1|警告引发抛售，古董钻石大跌。|super=false|mults={"antique":0.35,"diamond":0.4,"gold":1.5,"phone":1}
C3-3-2|市场无视警告，继续上涨。|super=false|mults={"antique":2.2,"diamond":2,"gold":1.4,"phone":0.9}
C3-3-3|情绪谨慎，高位震荡。|super=false|mults={"antique":1,"diamond":1,"gold":1.2,"phone":1}
EVENT|太空竞赛|unlock=10000000|goods=spacecraft,chip,copper,oil
A1|多国宣布载人登月计划，航天需求爆发。|mults={"spacecraft":1.6,"chip":1.4,"copper":1.3,"oil":1.2}
B1-1|订单量超预期，航天器暴涨。|mults={"spacecraft":3,"chip":1.8,"copper":1.6,"oil":1.3}
C1-1-1|太空竞赛白热化，航天器史诗级暴涨。|super=true|mults={"spacecraft":12,"chip":3.5,"copper":3,"oil":2}
C1-1-2|订单落地缓慢，价格回落。|super=false|mults={"spacecraft":1.5,"chip":1.3,"copper":1.3,"oil":1.1}
C1-1-3|多国竞争持续，高位震荡。|super=false|mults={"spacecraft":2.5,"chip":1.6,"copper":1.5,"oil":1.2}
B1-2|火箭发射失败，市场恐慌。|mults={"spacecraft":0.7,"chip":0.9,"copper":1,"oil":1.1}
C1-2-1|连续失败，航天器崩盘。|super=true|mults={"spacecraft":0.2,"chip":0.7,"copper":0.8,"oil":1.2}
C1-2-2|技术修复，市场回暖。|super=false|mults={"spacecraft":1.4,"chip":1.2,"copper":1.2,"oil":1.1}
C1-2-3|进度延期，航天器阴跌。|super=false|mults={"spacecraft":0.5,"chip":0.9,"copper":1,"oil":1.1}
B1-3|私营航天公司崛起。|mults={"spacecraft":2,"chip":1.5,"copper":1.4,"oil":1.2}
C1-3-1|私营资本涌入，航天器暴涨。|super=true|mults={"spacecraft":6,"chip":2.2,"copper":2,"oil":1.4}
C1-3-2|竞争加剧，价格分化。|super=false|mults={"spacecraft":1.8,"chip":1.4,"copper":1.4,"oil":1.1}
C1-3-3|资本退潮，航天器回落。|super=false|mults={"spacecraft":0.8,"chip":1,"copper":1.1,"oil":1}
A2|预算削减，太空项目降温。|mults={"spacecraft":0.7,"chip":0.9,"copper":0.9,"oil":0.9}
B2-1|多国取消部分计划。|mults={"spacecraft":0.4,"chip":0.7,"copper":0.8,"oil":0.8}
C2-1-1|项目大规模取消，航天器崩盘。|super=true|mults={"spacecraft":0.15,"chip":0.5,"copper":0.6,"oil":0.7}
C2-1-2|保留核心计划，价格企稳。|super=false|mults={"spacecraft":1,"chip":0.9,"copper":0.9,"oil":0.9}
C2-1-3|持续削减，长期低迷。|super=false|mults={"spacecraft":0.4,"chip":0.7,"copper":0.7,"oil":0.8}
B2-2|芯片出口管制加剧。|mults={"spacecraft":0.6,"chip":0.5,"copper":0.8,"oil":0.9}
C2-2-1|管制升级，航天器与芯片双崩。|super=true|mults={"spacecraft":0.2,"chip":0.2,"copper":0.6,"oil":0.8}
C2-2-2|管制缓和，市场修复。|super=false|mults={"spacecraft":1.2,"chip":1.2,"copper":1.1,"oil":1}
C2-2-3|长期限制，航天承压。|super=false|mults={"spacecraft":0.5,"chip":0.5,"copper":0.8,"oil":0.9}
B2-3|经济衰退影响航天投入。|mults={"spacecraft":0.6,"chip":0.7,"copper":0.7,"oil":0.7}
C2-3-1|衰退加深，航天器大跌。|super=false|mults={"spacecraft":0.25,"chip":0.5,"copper":0.5,"oil":0.6}
C2-3-2|财政刺激，项目重启。|super=false|mults={"spacecraft":1.5,"chip":1.2,"copper":1.2,"oil":1.1}
C2-3-3|复苏缓慢，低位徘徊。|super=false|mults={"spacecraft":0.7,"chip":0.8,"copper":0.8,"oil":0.8}
A3|技术突破，太空经济进入新阶段。|mults={"spacecraft":1.8,"chip":1.6,"copper":1.5,"oil":1.3}
B3-1|可回收火箭成本大降。|mults={"spacecraft":2.5,"chip":1.8,"copper":1.7,"oil":1.3}
C3-1-1|成本革命，航天器暴涨。|super=true|mults={"spacecraft":8,"chip":2.5,"copper":2.2,"oil":1.5}
C3-1-2|技术扩散，价格回落。|super=false|mults={"spacecraft":1.5,"chip":1.4,"copper":1.4,"oil":1.1}
C3-1-3|竞争加剧，高位震荡。|super=false|mults={"spacecraft":2.2,"chip":1.6,"copper":1.5,"oil":1.2}
B3-2|太空采矿概念升温。|mults={"spacecraft":2,"chip":1.5,"copper":2,"oil":1.2}
C3-2-1|采矿预期爆发，航天器与铜暴涨。|super=true|mults={"spacecraft":7,"chip":2,"copper":4.5,"oil":1.5}
C3-2-2|预期降温，价格回落。|super=false|mults={"spacecraft":1.2,"chip":1.2,"copper":1.8,"oil":1.1}
C3-2-3|长期故事，高位运行。|super=false|mults={"spacecraft":2.5,"chip":1.5,"copper":2.5,"oil":1.2}
B3-3|国际竞争引发黄金避险。|mults={"spacecraft":1.6,"chip":1.4,"copper":1.4,"oil":1.2}
C3-3-1|地缘紧张，黄金暴涨，航天分化。|super=true|mults={"spacecraft":2,"chip":1.5,"copper":1.5,"oil":1.4}
C3-3-2|局势缓和，黄金回落。|super=false|mults={"spacecraft":1.4,"chip":1.3,"copper":1.3,"oil":1.1}
C3-3-3|长期博弈，多品高位。|super=false|mults={"spacecraft":1.8,"chip":1.4,"copper":1.4,"oil":1.2}

